"vacina_dataaplicacao","paciente_endereco_nmmunicipio","_col2"
"2021-09-20","NITEROI","6203"
"2021-06-02","NITEROI","5748"
"2021-09-02","JUNDIAI","2876"
"2021-06-17","ACAILANDIA","2735"
"2021-06-21","JUNDIAI","514"
"2021-05-04","FEIRA DE SANTANA","1480"
"2021-04-27","SANTA MARIA","5017"
"2021-04-06","JUNDIAI","650"
"2021-01-22","RIBEIRAO PRETO","575"
"2021-07-05","SANTA LUZIA","894"
"2021-02-09","MARINGA","806"
"2021-03-28","JUNDIAI","16"
"2021-05-09","NITEROI","25"
"2021-05-10","MARINGA","157"
"2021-08-01","SANTA LUZIA","13"
"2021-05-22","NITEROI","1241"
"2021-08-18","SANTA MARIA","4475"
"2021-06-09","ACAILANDIA","471"
"2021-07-05","MARINGA","2886"
"2021-06-28","JUNDIAI","600"
"2021-04-30","JUNDIAI","1279"
"2021-02-03","SANTA LUZIA","235"
"2021-03-02","RIBEIRAO PRETO","1290"
"2021-09-01","RIBEIRAO PRETO","11859"
"2021-02-28","NITEROI","114"
"2021-04-02","SANTA MARIA","81"
"2021-03-27","PETROLINA","1120"
"2021-06-03","SANTA MARIA","49"
"2021-08-09","ACAILANDIA","185"
"2021-09-06","JUNDIAI","191"
"2021-03-28","DIVINOPOLIS","4"
"2021-06-20","RIBEIRAO PRETO","25"
"2021-10-01","JUNDIAI","7"
"2021-09-16","FEIRA DE SANTANA","141"
"2021-10-06","MARINGA","5"
"2021-03-07","RIBEIRAO PRETO","9"
"2021-08-29","DIVINOPOLIS","5"
"2021-07-12","NITEROI","9531"
"2021-10-13","NITEROI","3314"
"2021-03-05","MARINGA","934"
"2021-06-23","JUNDIAI","2406"
"2021-08-10","SANTA LUZIA","1059"
"2021-08-02","RIBEIRAO PRETO","2148"
"2021-04-23","JUNDIAI","1200"
"2021-01-22","JUNDIAI","518"
"2021-05-25","RIBEIRAO PRETO","1859"
"2021-03-26","JUNDIAI","877"
"2021-08-09","SANTA LUZIA","1006"
"2021-06-25","SANTA MARIA","190"
"2021-04-15","SANTA MARIA","1106"
"2021-05-10","FEIRA DE SANTANA","827"
"2021-04-01","PETROLINA","35"
"2021-04-07","ACAILANDIA","264"
"2021-08-16","MARINGA","3436"
"2021-08-21","JUNDIAI","4935"
"2021-08-30","JUNDIAI","1879"
